iter	Passed	Remaining
399	20820	83283
400	20856	83164
401	20893	83053
402	20925	82921
403	20959	82800
404	20993	82679
405	21027	82557
406	21051	82397
407	21086	82277
408	21126	82180
409	21162	82069
410	21203	81978
411	21242	81875
412	21279	81768
413	21311	81642
414	21341	81509
415	21385	81428
416	21427	81341
417	21461	81225
418	21503	81139
419	21543	81045
420	21584	80954
421	21617	80836
422	21656	80736
423	21690	80623
424	21725	80511
425	21756	80388
426	21797	80297
427	21838	80209
428	21873	80100
429	21912	80006
430	21944	79885
431	21981	79785
432	22021	79695
433	22060	79601
434	22107	79535
435	22274	79900
436	22324	79848
437	22377	79802
438	22443	79804
439	22515	79825
440	22577	79816
441	22641	79809
442	22687	79737
443	22736	79678
444	22782	79609
445	22838	79577
446	22868	79452
447	22904	79348
448	22955	79297
449	23000	79224
450	23057	79192
451	23111	79152
452	23167	79117
453	23222	79079
454	23268	79010
455	23319	78959
456	23380	78940
457	23448	78946
458	23504	78910
459	23556	78862
460	23616	78841
461	23672	78804
462	23721	78746
463	23768	78683
464	23822	78640
465	23875	78595
466	23924	78535
467	23984	78514
468	24036	78464
469	24080	78389
470	24122	78307
471	24168	78240
472	24221	78193
473	24282	78176
474	24337	78136
475	24385	78073
476	24439	78032
477	24491	77981
478	24548	77951
479	24593	77879
480	24644	77826
481	24686	77748
482	24740	77705
483	24786	77637
484	24834	77577
485	24868	77469
486	24917	77412
487	24976	77387
488	25035	77359
489	25102	77356
490	25184	77399
491	25258	77417
492	25347	77481
493	25413	77475
494	25470	77439
495	25527	77405
496	25595	77405
497	25652	77370
498	25709	77333
499	25761	77283
500	25814	77235
501	25869	77195
502	25922	77150
503	25978	77110
504	26032	77067
505	26089	77031
506	26143	76986
507	26179	76889
508	26234	76847
509	26291	76812
510	26344	76763
511	26392	76704
512	26456	76688
513	26514	76653
514	26576	76632
515	26629	76584
516	26684	76542
517	26725	76461
518	26772	76397
519	26815	76321
520	26861	76254
521	26896	76156
522	26940	76081
523	26976	75987
524	27018	75908
525	27056	75819
526	27156	75904
527	27217	75877
528	27254	75785
529	27298	75714
530	27348	75658
531	27398	75603
532	27446	75543
533	27492	75475
534	27524	75371
535	27565	75289
536	27605	75208
537	27641	75114
538	27675	75016
539	27710	74921
540	27748	74834
541	27784	74740
542	27826	74665
543	27890	74647
544	27948	74615
545	28015	74605
546	28087	74607
547	28162	74620
548	28215	74572
549	28269	74527
550	28327	74495
551	28369	74417
552	28403	74320
553	28437	74225
554	28470	74127
555	28510	74046
556	28555	73976
557	28599	73907
558	28635	73817
559	28671	73727
560	28714	73655
561	28758	73586
562	28799	73507
563	28840	73429
564	28870	73325
565	28911	73249
566	28952	73172
567	28989	73086
568	29025	72998
569	29061	72908
570	29098	72822
571	29127	72715
572	29165	72633
573	29206	72559
574	29245	72477
575	29284	72398
576	29324	72319
577	29358	72228
578	29391	72132
579	29430	72054
580	29470	71976
581	29496	71865
582	29527	71766
583	29567	71690
584	29609	71618
585	29647	71539
586	29678	71441
587	29717	71361
588	29757	71285
589	29795	71207
590	29832	71122
591	29874	71053
592	29913	70974
593	29945	70880
594	29978	70790
595	30014	70704
596	30049	70618
597	30092	70550
598	30131	70475
599	30154	70360
600	30188	70273
601	30220	70180
602	30262	70110
603	30302	70036
604	30346	69973
605	30379	69882
606	30421	69813
607	30452	69720
608	30500	69664
609	30536	69583
610	30571	69499
611	30601	69402
612	30634	69314
613	30672	69237
614	30712	69164
615	30757	69103
616	30803	69046
617	30841	68969
618	30878	68891
619	30914	68810
620	30953	68736
621	30988	68653
622	31028	68582
623	31071	68515
624	31109	68440
625	31143	68355
626	31175	68266
627	31212	68189
628	31246	68107
629	31278	68018
630	31319	67949
631	31360	67882
632	31397	67805
633	31433	67725
634	31476	67661
635	31522	67604
636	31570	67551
637	31614	67491
638	31663	67440
639	31705	67374
640	31756	67328
641	31793	67250
642	31835	67185
643	31870	67106
644	31908	67032
645	31948	66963
646	31981	66880
647	32011	66788
648	32039	66696
649	32077	66622
650	32119	66558
651	32157	66484
652	32196	66414
653	32231	66335
654	32269	66263
655	32302	66180
656	32339	66106
657	32375	66029
658	32416	65963
659	32452	65889
660	32495	65827
661	32538	65765
662	32577	65694
663	32608	65609
664	32652	65549
665	32685	65468
666	32725	65402
667	32764	65332
668	32791	65239
669	32834	65179
670	32868	65100
671	32912	65040
672	32951	64972
673	32988	64900
674	33031	64839
675	33069	64769
676	33104	64692
677	33144	64626
678	33184	64560
679	33220	64487
680	33262	64424
681	33291	64336
682	33334	64277
683	33371	64206
684	33407	64131
685	33441	64055
686	33478	63984
687	33514	63912
688	33551	63839
689	33594	63780
690	33629	63706
691	33673	63649
692	33702	63563
693	33742	63497
694	33778	63426
695	33813	63351
696	33844	63270
697	33885	63208
698	33919	63132
699	33962	63073
700	34012	63028
701	34075	63005
702	34121	62952
703	34173	62910
704	34221	62861
705	34265	62803
706	34301	62732
707	34337	62661
708	34378	62599
709	34426	62549
710	34463	62480
711	34503	62416
712	34548	62362
713	34588	62298
714	34629	62236
715	34672	62177
