iter	R2	RMSE
0	0.06708724731	0.1373227389
1	0.1284537147	0.1327294119
2	0.1858561462	0.1282840069
3	0.2390011204	0.1240263465
4	0.288906374	0.1198906556
5	0.3355325078	0.1158934287
6	0.3776591805	0.1121595055
7	0.4158427923	0.1086642813
8	0.4510979821	0.105334189
9	0.4845996227	0.1020691054
10	0.5151621857	0.09899657841
11	0.5436959641	0.09603932458
12	0.5700482618	0.09322487219
13	0.5948905907	0.0904915667
14	0.6175528431	0.08792404512
15	0.6384043175	0.0854935912
16	0.6580109769	0.08314344694
17	0.6761632528	0.08090679663
18	0.6928326589	0.07879695975
19	0.7084754529	0.0767643376
20	0.7230050764	0.07482691616
21	0.7364358967	0.07299028715
22	0.7493520797	0.07117934624
23	0.7607848059	0.06953705963
24	0.7714000024	0.06797669614
25	0.781339101	0.06648252518
26	0.7906793566	0.065047105
27	0.7992358131	0.06370375966
28	0.8072803671	0.06241441753
29	0.814597133	0.06121814488
30	0.8213339594	0.06009563778
31	0.8278152971	0.058995546
32	0.8337878392	0.05796333161
33	0.8395345121	0.05695249604
34	0.8444702767	0.05606975285
35	0.8492528128	0.05520094985
36	0.8536384024	0.0543920607
37	0.8578305819	0.0536074359
38	0.8615569961	0.05290021645
39	0.8653065315	0.05217893496
40	0.8685746412	0.051542031
41	0.8719659502	0.05087268776
42	0.875050818	0.05025608467
43	0.8779145853	0.04967682528
44	0.8805564871	0.04913638772
45	0.8829739991	0.04863659068
46	0.8853154847	0.04814756563
47	0.887583805	0.04766903747
48	0.8895227174	0.04725616061
49	0.8913173244	0.04687077157
50	0.893009241	0.04650451038
51	0.8945736576	0.04616326439
52	0.8960879743	0.04583052663
53	0.8974765767	0.0455232743
54	0.8988359396	0.04522046962
55	0.9003729362	0.04487563507
56	0.9015473542	0.04461035075
57	0.9027317656	0.04434120166
58	0.9038204363	0.04409235988
59	0.9049371867	0.0438356321
60	0.9058595701	0.0436224477
61	0.9067873286	0.04340696483
62	0.9076357695	0.04320896367
63	0.9084589682	0.0430159822
64	0.9093935377	0.04279583742
65	0.9101029142	0.04262797955
66	0.9110023455	0.04241419441
67	0.9118056121	0.04222235154
68	0.912391195	0.04208194655
69	0.9129930486	0.04193715048
70	0.9137325523	0.04175855064
71	0.9144245163	0.04159073768
72	0.9149363116	0.04146618178
73	0.9156218424	0.04129875517
74	0.9162676637	0.04114040348
75	0.9169327527	0.04097668786
76	0.9174735971	0.04084307199
77	0.9179866495	0.0407159169
78	0.9183990547	0.04061341762
79	0.9189515404	0.04047569593
80	0.9192722716	0.04039552977
81	0.919770374	0.04027071365
82	0.9201988939	0.04016302334
83	0.9206421211	0.04005133234
84	0.921041624	0.03995039206
85	0.9214136368	0.03985616771
86	0.9217119389	0.03978045177
87	0.9221016986	0.03968130404
88	0.9224858092	0.03958335041
89	0.922918898	0.03947261508
90	0.9232275339	0.03939351082
91	0.9236469738	0.03928575187
92	0.9239158013	0.03921653129
93	0.9242759947	0.03912359286
94	0.9245426682	0.03905464228
95	0.9248388052	0.03897793076
96	0.9253410419	0.03884748473
97	0.9257946749	0.03872928488
98	0.9261620651	0.03863329169
99	0.9265414245	0.03853392016
100	0.926913928	0.03843609452
101	0.9272566631	0.03834586611
102	0.9276025082	0.03825460326
103	0.9278993815	0.03817608925
104	0.9281803612	0.03810162958
105	0.9284282707	0.03803581246
106	0.9287283401	0.03795599485
107	0.9289415148	0.03789918881
108	0.9291850054	0.0378342
109	0.9294364761	0.03776696386
110	0.9296728257	0.03770366136
111	0.9298686193	0.03765114055
112	0.9302024145	0.03756143206
113	0.9303800145	0.03751361408
114	0.930676947	0.03743352994
115	0.9308740464	0.03738027653
116	0.931107828	0.03731701359
117	0.9313158094	0.03726064209
118	0.9315516928	0.03719660459
119	0.9317350459	0.03714675173
120	0.9318807538	0.03710708668
121	0.9320456739	0.03706214042
122	0.9323188782	0.03698756287
123	0.9325266379	0.03693074916
124	0.9326411655	0.03689939317
125	0.9327805228	0.03686120323
126	0.9328947362	0.03682987425
127	0.9330593066	0.03678468535
128	0.9333137875	0.03671469867
129	0.9335114717	0.03666023987
130	0.9337126206	0.03660474343
131	0.9339426118	0.0365411862
132	0.9341344864	0.03648807765
133	0.9343179221	0.0364372325
134	0.9345220358	0.03638057226
135	0.9347545368	0.03631592423
136	0.9349647408	0.03625737679
137	0.9352005251	0.03619159185
138	0.9354569319	0.03611991712
139	0.9356555387	0.03606430164
140	0.9358178566	0.0360187843
141	0.9360108809	0.03596458123
142	0.9361535219	0.03592447375
143	0.9363238845	0.0358765128
144	0.9365980501	0.03579919403
145	0.9367655309	0.03575187972
146	0.9370607439	0.03566832745
147	0.9371369089	0.03564673917
148	0.9373244528	0.03559352572
149	0.9374176043	0.03556706545
150	0.9375912593	0.03551768504
151	0.9377140611	0.03548272372
152	0.9378160412	0.03545366409
153	0.9379083555	0.03542733818
154	0.9380909487	0.03537520918
155	0.9383644373	0.03529698616
156	0.9385041651	0.03525695433
157	0.9386424129	0.03521730174
158	0.9387226771	0.03519425967
159	0.9388056403	0.03517042687
160	0.9390118288	0.03511112519
161	0.9391829435	0.03506183489
162	0.9393872072	0.03500290504
163	0.9394859241	0.0349743897
164	0.9396958554	0.03491367163
165	0.9397839861	0.03488815022
166	0.9399430273	0.03484204687
167	0.9400471821	0.03481182106
168	0.9401064475	0.03479461048
169	0.9402713562	0.03474667634
170	0.9404575276	0.03469248219
171	0.9404791979	0.0346861685
172	0.94059275	0.03465306607
173	0.9406382852	0.03463978286
174	0.9408108515	0.03458939676
175	0.9411021288	0.03450418242
176	0.9412135608	0.03447152681
177	0.9412344644	0.03446539748
178	0.9413296885	0.03443746216
179	0.9414232925	0.03440998002
180	0.9415267874	0.03437956836
181	0.9416293323	0.03434940927
182	0.941681323	0.03433410837
183	0.9418049079	0.03429770984
184	0.9418735126	0.03427748756
185	0.9419589363	0.03425229088
186	0.9421183216	0.03420522883
187	0.9423073084	0.03414934222
188	0.942419831	0.03411602387
189	0.9425032713	0.0340912959
190	0.9426937258	0.03403478634
191	0.9427489818	0.03401837386
192	0.9428345382	0.03399294566
193	0.942915735	0.03396879559
194	0.9430852761	0.0339183142
195	0.9431702843	0.03389297443
196	0.9432168955	0.03387907223
197	0.9432926894	0.03385645382
198	0.9434061348	0.03382257124
199	0.9435391657	0.03378279576
200	0.943598698	0.03376498078
201	0.9436243417	0.03375730404
202	0.9437339525	0.03372447103
203	0.9438371645	0.03369352548
